case_id,date,court_level,language,client_type,user_query,severity_score,primary_category
PK-RWP-2022-0351,2024-11-01,District Court,Urdu,Individual,Can a gift deed (Hiba) of a house to a grandson be challenged in cort by other legl heirs?,8.77,Property
PK-MUX-2023-1068,2025-01-09,High Court,Urdu,Individual,Someone stole my motorcycle from the parking area. What is the procedure to report this theft and get a police report for insurance?,7.94,Criminal
PK-RWP-2022-0177,2025-07-18,District Court,English,Individual,I want to know the legl share of daughters in the inheritance of their late father's proprty under Islamic law.,7.74,Family
PK-ISB-2025-1061,2024-12-02,High Court,Urdu,Corporate,What are the legal rights of a woman regarding dower (Mehr) and dowry articles (Saman-e-Harb) after divorce?,2.58,Family
PK-KHI-2026-0792,2023-09-06,District Court,English,Individual,We bought a plot of land in a housing society but the developer is not giving possession or registration (registry/intiqal). What should we do?,7.33,Property
PK-KHI-2024-1156,2023-03-06,Supreme Court,Urdu,Individual,We bought a plot of land in a housing society but the developer is not giving possession or registration (registry/intiqal). What should we do?,6.17,Property
PK-FSD-2026-0613,2024-09-30,District Court,Urdu,Corporate,"The rented house needs urgent structural repairs, but the landlord refuses to pay for maintenance. Can I deduct it from the rent?",3.65,Tenant
PK-MUX-2022-1026,2025-03-19,District Court,Urdu,NGO,"I want to sublet a portion of my rented shop, but the landlord is objecting despite our oral agreement. What does the law say?",5.05,Tenant
PK-KHI-2025-1032,2026-01-29,District Court,Urdu,,My relative has been arrested by police under Section 302 of PPC. How can we apply for post-arrest bail in the High Court?,8.98,Criminal
PK-LHR-2023-0005,2026-05-03,District Court,English,Individual,We bought a plot of land in a housing society but the developer is not giving possession or registration (registry/intiqal). What should we do?,6.72,Property
PK-ISB-2023-0155,2024-06-19,District Court,English,Individual,A private hospital charged us excessively and committed medical negligence during a surgery. Where do we complain?,3.14,Consumer
PK-MUX-2022-0678,2025-05-21,District Court,English,Individual,Someone stole my motorcycle from the parking area. What is the procedure to report this theft and get a police report for insurance?,9.62,Criminal
PK-KHI-2024-0742,2024-07-07,District Court,English,Individual,I purchased a refrigerator which stopped working within 3 days. The dealer is refusing to honor the warranty. Can I file a claim in Consumer Court?,3.25,Consumer
PK-RWP-2022-0528,2024-09-14,District Court,English,Corporate,Can a gift deed (Hiba) of a house to a grandson be challenged in court by other legal heirs?,7.31,Property
PK-FSD-2022-0619,2023-01-02,District Court,Urdu,Corporate,I want to know the legl share of daughters in the inheritance of their late father's proprty under Islamic law.,6.27,Family
PK-FSD-2024-0749,2024-03-01,District Court,English,Individual,There is a dispute over the boundaries of our house with our neighbor. How can we request a legal land demarcation?,5.31,Property
PK-KHI-2023-0966,2023-02-26,District Court,Urdu,Individual,I need advice on child custody and guardianship laws in Pakistan. The father is refusing to pay monthly maintenance.,5.19,Family
PK-FSD-2024-0085,2025-04-20,Supreme Court,English,Individual,My husband has married a second time without my permission or consent from the Arbitration Council. Is this illegal?,5.4,Family
PK-RWP-2026-0628,2025-02-25,District Court,English,Individual,We bought a plot of land in a housing society but the developer is not giving possession or registration (registry/intiqal). What should we do?,7.07,Property
PK-RWP-2024-0951,2024-05-22,District Court,English,Individual,I want to know the legal share of daughters in the inheritance of their late father's property under Islamic law.,6.42,Family
PK-MUX-2024-0072,2025-06-15,High Court,English,Individual,There is a dispute over the boundaries of our house with our neighbor. How can we request a legal land demarcation?,6.96,Property
PK-FSD-2022-0478,2024-08-28,District Court,English,Individual,My husband has married a second time without my permission or consent from the Arbitration Council. Is this illegal?,9.69,Family
PK-FSD-2024-1115,2022-10-24,District Court,Urdu,Individual,Someone stole my motorcycle from the parking area. What is the procedure to report this theft and get a police report for insurance?,,Criminal
PK-RWP-2023-0463,2026-05-09,High Court,English,Individual,My sister wants to file for Khula (divorce) from her husband due to cruelty and non-maintenance. What is the procedure in family court?,6.26,Family
PK-LHR-2023-1022,2023-10-31,High Court,Urdu,Individual,A private hospital charged us excessively and committed medical negligence during a surgery. Where do we complain?,59.55,Consumer
PK-KHI-2022-0919,2022-09-18,District Court,English,Individual,A false fraud case has been registered against me regarding a bounced cheque. How do I get pre-arrest bail?,8.73,Criminal
PK-MUX-2023-0018,2025-12-31,District Court,Urdu,Individual,There is a dispute over the boundaries of our house with our neighbor. How can we request a legal land demarcation?,5.91,Property
PK-RWP-2025-1120,2023-05-12,District Court,English,,I need to file an FIR at the police station regarding a theft/robbery that occurred at my house last night in Lahore.,,Criminal
PK-ISB-2024-0013,2022-08-17,District Court,English,Individual,What are the legal rights of a woman regarding dower (Mehr) and dowry articles (Saman-e-Harb) after divorce?,3.7,Family
PK-ISB-2024-0627,2022-06-29,District Court,English,Individual,I suffered an injury on the job due to lack of safety equipment. Am I entitled to compensation under the Workmen's Compensation Act?,5.35,Labor
PK-MUX-2026-1069,2024-03-17,District Court,English,NGO,A false fraud case has been registered against me regarding a bounced cheque. How do I get pre-arrest bail?,8.92,Criminal
PK-FSD-2022-0709,2022-01-14,District Court,Urdu,Individual,A false fraud case has been registered against me regarding a bounced cheque. How do I get pre-arrest bail?,10.0,Criminal
PK-MUX-2024-0319,2022-05-10,High Court,English,NGO,I need advice on child custody and guardianship laws in Pakistan. The father is refusing to pay monthly maintenance.,5.84,Family
PK-MUX-2025-1015,2024-02-15,District Court,Urdu,Corporate,My landlord is trying to evict me forcefully without giving the 3-month notice period written in our tenancy agreement.,5.24,Tenant
PK-LHR-2024-0156,2024-08-03,District Court,English,Corporate,My sister wants to file for Khula (divorce) from her husband due to cruelty and non-maintenance. What is the procedure in family court?,8.24,Family
PK-MUX-2026-0547,2022-12-29,District Court,English,Individual,A false fraud case has been registered against me regarding a bounced cheque. How do I get pre-arrest bail?,8.26,Criminal
PK-RWP-2026-0567,2022-11-25,District Court,English,Individual,We were assaulted and harassed by some local goons. The police are refusing to register our complaint. Can we file a petition under 22-A/22-B?,7.29,Criminal
PK-KHI-2026-0456,2025-01-16,District Court,English,Individual,How do I verify the registry and fard of a commercial property before purchasing it to avoid scams?,6.87,Property
PK-ISB-2023-0067,2025-05-25,District Court,Urdu,Individual,My relative has been arrested by police under Section 302 of PPC. How can we apply for post-arrest bail in the High Court?,9.7,Criminal
PK-MUX-2024-0525,2022-06-05,District Court,English,Individual,My relative has been arrested by police under Section 302 of PPC. How can we apply for post-arrest bail in the High Court?,6.33,Criminal
PK-KHI-2024-0941,2022-07-27,District Court,Urdu,Individual,I need to file an FIR at the police station regarding a theft/robbery that occurred at my house last night in Lahore.,9.55,Criminal
PK-MUX-2022-0920,2025-11-20,District Court,Urdu,Individual,Someone stole my motorcycle from the parking area. What is the procedur to report this theft and get a police report for insurance?,9.79,Criminal
PK-LHR-2022-0326,2022-07-31,District Court,Urdu,Individual,My relative has been arrested by police under Section 302 of PPC. How can we apply for post-arrest bail in the High Court?,9.89,Criminal
PK-RWP-2023-0838,2023-03-09,High Court,Urdu,Individual,I purchased a refrigerator which stopped working within 3 days. The dealer is refusing to honor the warranty. Can I file a claim in Consumer Court?,,Consumer
PK-KHI-2023-0603,2023-12-01,High Court,Urdu,Individual,"The rented house needs urgent structural repairs, but the landlord refuses to pay for maintenance. Can I deduct it from the rent?",6.63,Tenant
PK-MUX-2023-0069,2022-07-28,District Court,English,Individual,We bought a plot of land in a housing society but the developer is not giving possession or registration (registry/intiqal). What should we do?,6.23,Property
PK-LHR-2023-0704,2025-07-19,District Court,English,Individual,There is a dispute over the boundaries of our house with our neighbor. How can we request a legal land demarcation?,5.13,Property
PK-RWP-2024-0348,2025-07-26,High Court,Urdu,NGO,I need to file an FIR at the police station regarding a theft/robbery that occurred at my house last night in Lahore.,7.64,Criminal
PK-LHR-2023-0801,2022-11-23,District Court,English,Individual,What are the legal rights of a woman regarding dower (Mehr) and dowry articles (Saman-e-Harb) after divorce?,5.38,Family
PK-MUX-2024-1002,2025-11-27,District Court,English,Individual,I need advice on child custody and guardianship laws in Pakistan. The father is refusing to pay monthly maintenance.,6.07,Family
PK-MUX-2025-1193,2023-04-09,District Court,English,Corporate,A private hospital charged us excessively and committed medical negligence during a surgery. Where do we complain?,4.38,Consumer
PK-KHI-2023-0863,2025-02-14,District Court,English,Corporate,What are the legal rights of a woman regarding dower (Mehr) and dowry articles (Saman-e-Harb) after divorce?,8.16,Family
PK-RWP-2026-0138,2025-02-24,District Court,English,Individual,I want to know the legal share of daughters in the inheritance of their late father's property under Islamic law.,6.98,Family
PK-MUX-2022-0367,2026-04-14,Supreme Court,English,Corporate,There is a dispute over the boundaries of our house with our neighbor. How can we request a legal land demarcation?,,Property
PK-ISB-2026-0098,2022-01-29,District Court,English,Government,We bought a plot of land in a housing society but the developer is not giving possession or registration (registry/intiqal). What should we do?,7.01,Property
PK-MUX-2023-0620,2026-01-11,High Court,English,Individual,We were assaulted and harassed by some local goons. The police are refusing to register our complaint. Can we file a petition under 22-A/22-B?,7.55,Criminal
PK-FSD-2026-0807,2024-02-07,District Court,English,Individual,I want to know the legal share of daughters in the inheritance of their late father's property under Islamic law.,5.43,Family
PK-MUX-2024-0318,2024-07-20,Supreme Court,English,Individual,We bought a plot of land in a housing society but the developer is not giving possession or registration (registry/intiqal). What should we do?,7.39,Property
PK-KHI-2022-0717,2023-05-01,High Court,Urdu,Individual,My relative has been arrested by police under Section 302 of PPC. How can we apply for post-arrest bail in the High Court?,8.68,Criminal
PK-FSD-2023-0206,2026-04-07,District Court,English,Individual,The company is refusing to pay maternity leave benefits to a female employee. What legl actions can we take?,6.12,Labor
PK-LHR-2023-0221,2024-11-28,District Court,English,Individual,Can a gift deed (Hiba) of a house to a grandson be challenged in court by other legal heirs?,4.76,Property
PK-KHI-2023-0103,2025-03-17,District Court,Urdu,Individual,We were assaulted and harassed by some local goons. The police are refusing to register our complaint. Can we file a petition under 22-A/22-B?,7.54,Criminal
PK-MUX-2024-0546,2023-10-29,High Court,English,Corporate,We were assaulted and harassed by some local goons. The police are refusing to register our complaint. Can we file a petition under 22-A/22-B?,9.19,Criminal
PK-KHI-2025-0440,2023-12-10,District Court,Urdu,Individual,Can a gift deed (Hiba) of a house to a grandson be challenged in court by other legal heirs?,7.46,Property
PK-LHR-2023-0448,2024-10-05,District Court,Urdu,Individual,We bought a plot of land in a housing society but the developer is not giving possession or registration (registry/intiqal). What should we do?,6.38,Property
PK-ISB-2026-0196,2025-03-18,District Court,Urdu,Individual,My husband has married a second time without my permission or consent from the Arbitration Council. Is this illegal?,4.94,Family
PK-ISB-2025-0965,2024-03-11,District Court,English,Individual,Someone stole my motorcycle from the parking area. What is the procedure to report this theft and get a police report for insurance?,10.0,Criminal
PK-FSD-2026-0384,2025-01-30,High Court,English,Individual,Someone stole my motorcycle from the parking area. What is the procedur to report this theft and get a police report for insurance?,7.59,Criminal
PK-KHI-2025-0840,2026-05-16,District Court,Urdu,NGO,Our employer is paying us less than the government-mandated minimum wage in Punjab. Can we report this to the labor inspector?,5.44,Labor
PK-KHI-2026-0579,2025-01-22,District Court,Urdu,NGO,We were assaulted and harassed by some local goons. The police are refusing to register our complaint. Can we file a petition under 22-A/22-B?,9.87,Criminal
PK-ISB-2024-1197,2026-05-02,High Court,English,Individual,What are the legal rights of a woman regarding dower (Mehr) and dowry articles (Saman-e-Harb) after divorce?,6.66,Family
PK-LHR-2025-0307,2022-10-07,District Court,English,Individual,The company is refusing to pay maternity leave benefits to a female employee. What legal actions can we take?,4.79,Labor
PK-MUX-2026-0452,2022-12-22,High Court,English,Individual,"I want to sublet a portion of my rented shop, but the landlord is objecting despite our oral agreement. What does the law say?",3.82,Tenant
PK-MUX-2022-0694,2022-03-19,District Court,English,Individual,I want to know the legal share of daughters in the inheritance of their late father's property under Islamic law.,6.71,Family
PK-KHI-2022-0963,2025-10-14,District Court,English,Individual,Someone stole my motorcycle from the parking area. What is the procedur to report this theft and get a police report for insurance?,9.35,Criminal
PK-LHR-2023-1131,2023-07-06,District Court,English,Individual,There is a dispute over the boundaries of our house with our neighbor. How can we request a legl land demarcation?,7.51,Property
PK-MUX-2024-0252,2023-05-01,District Court,English,Individual,I need advice on child custody and guardianship laws in Pakistan. The father is refusing to pay monthly maintenance.,8.55,Family
PK-ISB-2025-0969,2023-12-12,High Court,Urdu,Individual,Can a gift deed (Hiba) of a house to a grandson be challenged in court by other legal heirs?,5.28,Property
PK-LHR-2024-0068,2025-03-25,District Court,Urdu,Individual,My relative has been arrested by police under Section 302 of PPC. How can we apply for post-arrest bail in the High Court?,8.93,Criminal
PK-MUX-2025-1017,2024-11-20,District Court,English,Government,How do I verify the registry and fard of a commercial proprty before purchasing it to avoid scams?,6.42,Property
PK-FSD-2025-0278,2023-04-13,District Court,Urdu,Individual,A false fraud case has been registered against me regarding a bounced cheque. How do I get pre-arrest bail?,8.58,Criminal
PK-FSD-2024-0693,2022-07-31,District Court,English,Individual,There is a dispute over the boundaries of our house with our neighbor. How can we request a legl land demarcation?,7.74,Property
PK-MUX-2023-0833,2022-09-11,District Court,English,Individual,My relative has been arrested by police under Section 302 of PPC. How can we apply for post-arrest bail in the High Court?,7.58,Criminal
PK-MUX-2022-0927,2022-09-19,District Court,Urdu,Individual,My husband has married a second time without my permission or consent from the Arbitration Council. Is this illegal?,6.45,Family
PK-RWP-2024-0548,2023-12-13,District Court,English,Individual,How do I verify the registry and fard of a commercial property before purchasing it to avoid scams?,7.45,Property
PK-KHI-2023-0698,2025-02-09,District Court,English,Individual,Someone stole my motorcycle from the parking area. What is the procedure to report this theft and get a police report for insurance?,9.61,Criminal
PK-KHI-2023-0316,2022-10-27,High Court,Urdu,Individual,Someone stole my motorcycle from the parking area. What is the procedure to report this theft and get a police report for insurance?,9.32,Criminal
PK-LHR-2023-0472,2026-05-03,District Court,English,Individual,My relative has been arrested by police under Section 302 of PPC. How can we apply for post-arrest bail in the High Court?,6.68,Criminal
PK-RWP-2026-0141,2022-02-23,District Court,Urdu,Individual,I was terminated from my factory job without any notice or payment of dues. Where can I file a complaint for reinstatement and gratuity?,106.05,Labor
PK-KHI-2025-0797,2023-07-03,High Court,English,Individual,I want to know the legal share of daughters in the inheritance of their late father's property under Islamic law.,6.82,Family
PK-MUX-2022-0616,2025-02-16,District Court,Urdu,NGO,I need advice on child custody and guardianship laws in Pakistan. The father is refusing to pay monthly maintenance.,6.13,Family
PK-MUX-2022-1045,2023-01-06,High Court,Urdu,Individual,Someone stole my motorcycle from the parking area. What is the procedure to report this theft and get a police report for insurance?,9.56,Criminal
PK-KHI-2025-0120,2025-02-15,District Court,Urdu,Individual,A false fraud case has been registered against me regarding a bounced cheque. How do I get pre-arrest bail?,9.45,Criminal
PK-RWP-2025-0722,2024-08-05,District Court,Urdu,Individual,An online store delivered a damaged mobile phone and is refusing a refund or replacement. How do I send them a legal notice?,2.38,Consumer
